problem_id,game,target,studyType
2132.0,VENDINGMACHINEGA,멋지다,1
2133.0,VENDINGMACHINEGA,뱉었어,1
2134.0,VENDINGMACHINEGA,찾았네,1
2135.0,VENDINGMACHINEGA,붙이다,1
2136.0,VENDINGMACHINEGA,했어요,1
2137.0,PEAGAME,맡아요,0
2138.0,PEAGAME,깨끗해,0
2139.0,PEAGAME,벗었어,0
2140.0,PEAGAME,쫓아가,0
2141.0,PEAGAME,못해요,0
2142.0,VENDINGMACHINEGA,쫓겨요,0
2143.0,VENDINGMACHINEGA,찢었어,0
2144.0,VENDINGMACHINEGA,빼앗다,0
2145.0,VENDINGMACHINEGA,깨끗해,0
2146.0,VENDINGMACHINEGA,했으면,0
2147.0,PEAGAME,붙여서,0
2148.0,PEAGAME,했지만,0
2149.0,PEAGAME,늦었어,0
2150.0,PEAGAME,꽃다발,0
2151.0,VENDINGMACHINEGA,이곳,0
2152.0,VENDINGMACHINEGA,높다,0
2153.0,VENDINGMACHINEGA,숲속,0
2154.0,VENDINGMACHINEGA,키읔,0
2155.0,VENDINGMACHINEGA,낚시,0
2156.0,PEAGAME,뚜껑,0
2157.0,PEAGAME,짚신,0
2158.0,PEAGAME,팔랑,0
2159.0,PEAGAME,꾸룩,0
2160.0,PEAGAME,섞다,0
2161.0,VENDINGMACHINEGA,나뭇잎,0
2162.0,VENDINGMACHINEGA,싶었어,0
2163.0,VENDINGMACHINEGA,어울려,0
2164.0,VENDINGMACHINEGA,만났어,0
2165.0,VENDINGMACHINEGA,덮여서,0
2166.0,PEAGAME,밖에서,0
2167.0,PEAGAME,떡볶이,0
2168.0,PEAGAME,나뭇잎,0
2169.0,PEAGAME,따뜻해,0
2170.0,PEAGAME,꺾지마,0
2171.0,VENDINGMACHINEGA,얼룩말,0
2172.0,VENDINGMACHINEGA,어젯밤,0
2173.0,VENDINGMACHINEGA,떡볶이,0
2174.0,VENDINGMACHINEGA,복숭아,0
2175.0,VENDINGMACHINEGA,싶었다,0
2176.0,PEAGAME,있었다,0
2177.0,PEAGAME,씩씩해,0
2178.0,PEAGAME,뱉지마,0
2179.0,VENDINGMACHINEGA,최고,0
2180.0,VENDINGMACHINEGA,박쥐,0
2181.0,VENDINGMACHINEGA,가위,0
2182.0,VENDINGMACHINEGA,괴물,0
2183.0,VENDINGMACHINEGA,뛰다,0
2184.0,PEAGAME,방귀,0
2185.0,PEAGAME,교회,0
2186.0,PEAGAME,쉬다,0
2187.0,PEAGAME,펭귄,0
2188.0,PEAGAME,생쥐,0
2189.0,PEAGAME,도와,0
2190.0,PEAGAME,의사,0
2191.0,PEAGAME,바꿔,0
2192.0,PEAGAME,전화,0
2193.0,PEAGAME,시원,0
2194.0,PEAGAME,과일,0
2195.0,PEAGAME,학원,0
2196.0,PEAGAME,사과,0
2197.0,PEAGAME,뭐해,0
2198.0,PEAGAME,화가,0
2199.0,VENDINGMACHINEGA,더워요,1
2200.0,VENDINGMACHINEGA,유치원,1
2201.0,VENDINGMACHINEGA,원숭이,1
2202.0,VENDINGMACHINEGA,도와줘,1
2203.0,VENDINGMACHINEGA,귀여워,1
2204.0,PEAGAME,키워요,0
2205.0,PEAGAME,왕만두,0
2206.0,PEAGAME,춤춰요,0
2207.0,PEAGAME,되네요,0
2208.0,PEAGAME,꽈배기,0
2209.0,VENDINGMACHINEGA,구워요,0
2210.0,VENDINGMACHINEGA,어두워,0
2211.0,VENDINGMACHINEGA,뀌어요,0
2212.0,VENDINGMACHINEGA,부숴요,0
2213.0,VENDINGMACHINEGA,되세요,0
2214.0,PEAGAME,원숭이,0
2215.0,PEAGAME,태권도,0
2216.0,PEAGAME,도와줘,0
2217.0,PEAGAME,유치원,0
2218.0,PEAGAME,도서관,0
2219.0,VENDINGMACHINEGA,계단,1
2220.0,VENDINGMACHINEGA,식혜,1
2221.0,VENDINGMACHINEGA,왠지,1
2222.0,VENDINGMACHINEGA,쟤가,1
2223.0,VENDINGMACHINEGA,차례,1
2224.0,PEAGAME,계란,0
